exponent,min_runtime_new,min_runtime_old
209,4.7000066842883825e-06,1.7610000213608146e-05
210,3.66999302059412e-06,2.4339999072253704e-05
211,5.049994797445834e-06,1.8000006093643606e-05
212,3.640001523308456e-06,1.8031001673080027e-05
213,5.0910020945593715e-06,2.4900000425986946e-05
214,4.0000013541430235e-06,1.8220001948066056e-05
215,5.470996256917715e-06,2.5519999326206744e-05
216,4.639994585886598e-06,1.83489901246503e-05
217,5.159992724657059e-06,1.845099905040115e-05
218,3.959998139180243e-06,1.85999961104244e-05
219,4.3199979700148106e-06,1.8630002159625292e-05
220,3.939989255741239e-06,1.872000575531274e-05
221,4.291010554879904e-06,1.915100438054651e-05
222,4.3100008042529225e-06,1.9189988961443305e-05
223,5.690002581104636e-06,2.7649992262013257e-05
224,4.3000036384910345e-06,2.605999179650098e-05
225,4.540008376352489e-06,1.908000558614731e-05
226,3.9000005926936865e-06,2.671999391168356e-05
227,4.989997250959277e-06,1.9359998987056315e-05
228,3.630004357546568e-06,1.942999369930476e-05
229,4.920002538710833e-06,1.9679995602928102e-05
230,4.989997250959277e-06,2.0330000552348793e-05
231,4.329995135776699e-06,2.396000490989536e-05
232,4.489993443712592e-06,2.7160000172443688e-05
233,4.929999704472721e-06,2.7119996957480907e-05
234,4.959991201758385e-06,2.6549998437985778e-05
235,5.220004823058844e-06,2.5479996111243963e-05
236,4.760004230774939e-06,2.4979992303997278e-05
237,5.23999915458262e-06,2.7650006813928485e-05
238,5.570007488131523e-06,2.8390000807121396e-05
239,5.609996151179075e-06,2.7550006052479148e-05
240,4.509987775236368e-06,2.6659996365197003e-05
241,4.71998646389693e-06,2.7920003049075603e-05
242,4.770001396536827e-06,2.8169990400783718e-05
243,5.149995558895171e-06,2.8840004233643413e-05
244,4.770001396536827e-06,2.6900001103058457e-05
245,5.0109956646338105e-06,2.680000034160912e-05
246,4.960005753673613e-06,2.728900290094316e-05
247,5.41000918019563e-06,2.71500030066818e-05
248,4.5909982873126864e-06,2.7488989871926606e-05
249,5.0309899961575866e-06,2.798000059556216e-05
250,5.090987542644143e-06,2.815999323502183e-05
251,5.570997018367052e-06,2.8479989850893617e-05
252,4.989997250959277e-06,2.8520997148007154e-05
253,5.4109987104311585e-06,2.91600008495152e-05
254,5.530993803404272e-06,2.8800001018680632e-05
255,5.720008630305529e-06,2.9610004276037216e-05
256,3.5909906728193164e-06,2.889000461436808e-05
257,4.2100000428035855e-06,3.0480005079880357e-05
258,4.269997589290142e-06,3.078998997807503e-05
259,4.950008587911725e-06,3.0279989005066454e-05
260,4.0800077840685844e-06,2.989999484270811e-05
261,4.4199987314641476e-06,3.0219991458579898e-05
262,4.5100023271515965e-06,3.1190007575787604e-05
263,4.759989678859711e-06,3.08599992422387e-05
264,4.050001734867692e-06,3.527000080794096e-05
265,5.0100061343982816e-06,3.5600009141489863e-05
266,5.209993105381727e-06,3.147000097669661e-05
267,5.590001819655299e-06,3.828000626526773e-05
268,4.929999704472721e-06,3.5500008380040526e-05
269,5.370005965232849e-06,3.295000351499766e-05
270,5.430003511719406e-06,3.613000444602221e-05
271,5.750000127591193e-06,3.327000013086945e-05
272,4.250003257766366e-06,3.147000097669661e-05
273,4.639994585886598e-06,3.2589989132247865e-05
274,4.6100030886009336e-06,3.28699970850721e-05
275,4.970002919435501e-06,3.287999425083399e-05
276,4.569999873638153e-06,2.911000046879053e-05
277,5.049994797445834e-06,3.052000829484314e-05
278,4.520014044828713e-06,3.3499993151053786e-05
279,5.509995389729738e-06,3.0570008675567806e-05
280,3.959008608944714e-06,3.0289986170828342e-05
281,5.080000846646726e-06,3.085000207647681e-05
282,4.2100000428035855e-06,3.1060000765137374e-05
283,5.829992005601525e-06,3.534999268595129e-05
284,5.2800023695454e-06,3.565000952221453e-05
285,5.590001819655299e-06,3.080999886151403e-05
286,4.540008376352489e-06,2.7920003049075603e-05
287,6.50998845230788e-06,3.53700015693903e-05
288,4.3199979700148106e-06,3.5720004234462976e-05
289,4.960005753673613e-06,2.541000139899552e-05
290,3.859997377730906e-06,2.575000689830631e-05
291,4.1900057112798095e-06,2.566000330261886e-05
292,3.859997377730906e-06,2.583999594207853e-05
293,4.2900064727291465e-06,2.8170004952698946e-05
294,5.339999916031957e-06,3.697001375257969e-05
295,5.690002581104636e-06,3.637999179773033e-05
296,4.649991751648486e-06,3.652001032605767e-05
297,5.470996256917715e-06,2.6180001441389322e-05
298,4.289991920813918e-06,2.6639987481758e-05
299,4.639994585886598e-06,2.658000448718667e-05
300,4.260000423528254e-06,2.697099989745766e-05
301,4.739995347335935e-06,2.6819994673132896e-05
302,4.660003469325602e-06,2.705999941099435e-05
303,6.480011506937444e-06,4.058000922668725e-05
304,5.229987436905503e-06,3.935099812224507e-05
305,5.690002581104636e-06,3.9220001781359315e-05
306,5.45999500900507e-06,3.911000385414809e-05
307,5.320005584508181e-06,2.7350004529580474e-05
308,4.23000892624259e-06,2.772000152617693e-05
309,5.959998816251755e-06,2.762999793048948e-05
310,4.62999742012471e-06,2.776998735498637e-05
311,4.989997250959277e-06,3.051999374292791e-05
312,5.179987056180835e-06,3.541000478435308e-05
313,4.920002538710833e-06,3.5730001400224864e-05
314,5.779991624876857e-06,4.102000093553215e-05
315,6.429996574297547e-06,4.0480008465237916e-05
316,5.779991624876857e-06,4.050000279676169e-05
317,5.800000508315861e-06,3.822000871878117e-05
318,6.249989382922649e-06,4.138999793212861e-05
319,6.589994882233441e-06,4.051999712828547e-05
320,4.5199994929134846e-06,4.0920000174082816e-05
321,4.859990440309048e-06,3.9979990106076e-05
322,5.030000465922058e-06,3.964899224229157e-05
323,5.0000089686363935e-06,3.885000478476286e-05
324,5.089998012408614e-06,4.146998981013894e-05
325,5.54900907445699e-06,4.238999099470675e-05
326,5.450987373478711e-06,4.2979998397640884e-05
327,6.0110032791271806e-06,4.317999992053956e-05
328,5.039997631683946e-06,4.2930987547151744e-05
329,5.680005415342748e-06,4.4450003770180047e-05
330,5.669993697665632e-06,4.373000410851091e-05
331,5.959998816251755e-06,4.5199994929134846e-05
332,5.41000918019563e-06,4.3249994632788e-05
333,5.909998435527086e-06,4.3590000132098794e-05
334,5.950001650489867e-06,4.40500007243827e-05
335,6.410002242773771e-06,4.4190004700794816e-05
